ID,Type,Pic_Link,Longitude,Latitude,Text,Hashtags,Created_At
910893397296189440,Not_Specified,,,,Keep your summer glow! All #jLounge skincare products are 20% off until September 30th! #sale #Boulderco… https://t.co/2zxLwYtvje,"['#jLounge', '#sale', '#Boulderco']",Thu Sep 21 15:48:04 +0000 2017
910862973345951746,Not_Specified,,,,Wow! My new spirit animal. #blackfox #boulderco #boulderlife… https://t.co/qiGwjUhky8,"['#blackfox', '#boulderco', '#boulderlife']",Thu Sep 21 13:47:10 +0000 2017
910695152313761792,Not_Specified,,,,"The painted ladies are peaking. 😊🦋 By @andrewhyde.

#bouldercolorado #boulderco #Chautauqua… https://t.co/HvaG851bLL","['#bouldercolorado', '#boulderco', '#Chautauqua']",Thu Sep 21 02:40:18 +0000 2017
910646987107721216,photo,https://pbs.twimg.com/media/DKNEh0bUQAEkwVH.jpg,,,"~Cheers
#WineWednesday
#WineWednesdays
#Boulder #BoulderCO
#Colorado #OnlyInColorado https://t.co/0mCy6Y16YI","['#WineWednesday', '#WineWednesdays', '#Boulder', '#BoulderCO', '#Colorado', '#OnlyInColorado']",Wed Sep 20 23:28:55 +0000 2017
910638852024410112,Not_Specified,,,,"RT @OnlyInBoulder: #WednesdayWisdom &lt;&gt; #WordsOfWisdom

😎💪🙌😎 ""Let your freak flag fly""  😎💪🙌😎

#QuotesToLiveBy
#Boulder  #BoulderCO
#Colorad…","['#WednesdayWisdom', '#WordsOfWisdom', '#QuotesToLiveBy', '#Boulder', '#BoulderCO']",Wed Sep 20 22:56:35 +0000 2017
910561748306075648,Not_Specified,,,,"RT @BoulderUnivInn: A great way to spend the day while visiting Boulder!
#BoulderCO  #VisitBoulder  #EldoradoCanyon https://t.co/Hng4TqHhul","['#BoulderCO', '#VisitBoulder', '#EldoradoCanyon']",Wed Sep 20 17:50:12 +0000 2017
910543343154688000,Not_Specified,,,,"#WednesdayWisdom &lt;&gt; #WordsOfWisdom

😎💪🙌😎 ""Let your freak flag fly""  😎💪🙌😎

#QuotesToLiveBy
#Boulder  #BoulderCO… https://t.co/oqmgpB3WSE","['#WednesdayWisdom', '#WordsOfWisdom', '#QuotesToLiveBy', '#Boulder', '#BoulderCO']",Wed Sep 20 16:37:04 +0000 2017
910302666735067136,Not_Specified,,,,"RT @LakeValleyGC: We are one of only a few fitters in CO. Putters, Wedges, Single-Length. Call for a fitting. #Sick #BoulderCO #ColoradoGol…","['#Sick', '#BoulderCO']",Wed Sep 20 00:40:43 +0000 2017
910295821341614080,Not_Specified,,,,"We are one of only a few fitters in CO. Putters, Wedges, Single-Length. Call for a fitting. #Sick #BoulderCO... https://t.co/DnJmCCPHbq","['#Sick', '#BoulderCO']",Wed Sep 20 00:13:30 +0000 2017
910295791939366912,Not_Specified,,,,"We are one of only a few fitters in CO. Putters, Wedges, Single-Length. Call for a fitting. #Sick #BoulderCO… https://t.co/WcFm8qMYXl","['#Sick', '#BoulderCO']",Wed Sep 20 00:13:23 +0000 2017
910257992972492800,photo,https://pbs.twimg.com/media/DKHi0ceUQAAOKIe.jpg,,,It's not everyday a #tortoise walks through #TGR 🐢 #boulderco #dispensary #budtender https://t.co/uAGGWImuXJ,"['#tortoise', '#TGR', '#boulderco', '#dispensary', '#budtender']",Tue Sep 19 21:43:11 +0000 2017
910226007558283265,Not_Specified,,,,beyond excited to return to the @BoulderTheater on 11/24 supporting @LeftoverSalmon #KissTheGround #Farmily… https://t.co/5fc1LUVEno,"['#KissTheGround', '#Farmily']",Tue Sep 19 19:36:06 +0000 2017
910219172981784576,Not_Specified,,,,We couldn't agree more! #BoulderCO https://t.co/aEBVqFDsbm,['#BoulderCO'],Tue Sep 19 19:08:56 +0000 2017
910195664788660224,Not_Specified,,,,Join us at #sanitas #meetup #boulderco #colorado #boulderwv #sep21 @SanitasBrewing #geopolitics #discussion #beer… https://t.co/Wql8yApGhO,"['#sanitas', '#meetup', '#boulderco', '#colorado', '#boulderwv', '#sep21', '#geopolitics', '#discussion', '#beer']",Tue Sep 19 17:35:31 +0000 2017
910187122929303552,Not_Specified,,,,#BoulderCO! We're thrilled to return on November 25th with @LeftoverSalmon at the… https://t.co/Ugy933DYxq,['#BoulderCO'],Tue Sep 19 17:01:35 +0000 2017
910172143979245569,Not_Specified,,,,"We're #hiring! jLounge is currently looking for great massage therapists, receptionists, estheticians and nail spec… https://t.co/L2biGtxX1z",['#hiring'],Tue Sep 19 16:02:03 +0000 2017
